Device-ID,X-Coordinate,Y-Coordinate,Laser-Power(dB),Wavelength,Channel-1,Channel-2
MR3_100_100,-1722.125,1966.45,6.401,1500.0,-37.6532,-48.4591
MR3_100_100,-1722.125,1966.45,6.401,1500.008,-37.6758,-47.8268
MR3_100_100,-1722.125,1966.45,6.401,1500.016,-37.7215,-47.9462
MR3_100_100,-1722.125,1966.45,6.401,1500.024,-37.7331,-48.1949
MR3_100_100,-1722.125,1966.45,6.401,1500.032,-37.7331,-47.9462
MR3_100_100,-1722.125,1966.45,6.401,1500.04,-37.7562,-47.5975
MR3_100_100,-1722.125,1966.45,6.401,1500.048,-37.7446,-47.8268
MR3_100_100,-1722.125,1966.45,6.401,1500.056,-37.7331,-48.1949
MR3_100_100,-1722.125,1966.45,6.401,1500.064,-37.6532,-47.8268
MR3_100_100,-1722.125,1966.45,6.401,1500.072,-37.6194,-48.0688
MR3_100_100,-1722.125,1966.45,6.401,1500.08,-37.6194,-48.3251
MR3_100_100,-1722.125,1966.45,6.401,1500.088,-37.5415,-48.5975
MR3_100_100,-1722.125,1966.45,6.401,1500.096,-37.6306,-48.4591
MR3_100_100,-1722.125,1966.45,6.401,1500.104,-37.5858,-48.4591
MR3_100_100,-1722.125,1966.45,6.401,1500.112,-37.6419,-48.8882
MR3_100_100,-1722.125,1966.45,6.401,1500.12,-37.7215,-48.3251
MR3_100_100,-1722.125,1966.45,6.401,1500.128,-37.7446,-48.7403
MR3_100_100,-1722.125,1966.45,6.401,1500.136,-37.8028,-48.7403
MR3_100_100,-1722.125,1966.45,6.401,1500.144,-37.8262,-49.1993
MR3_100_100,-1722.125,1966.45,6.401,1500.152,-37.8974,-49.1993
MR3_100_100,-1722.125,1966.45,6.401,1500.16,-37.9214,-49.5349
MR3_100_100,-1722.125,1966.45,6.401,1500.168,-37.9455,-48.8882
MR3_100_100,-1722.125,1966.45,6.401,1500.176,-37.9942,-48.7403
MR3_100_100,-1722.125,1966.45,6.401,1500.184,-38.0065,-49.1993
MR3_100_100,-1722.125,1966.45,6.401,1500.192,-38.0188,-48.3251
MR3_100_100,-1722.125,1966.45,6.401,1500.2,-38.0807,-47.7108
MR3_100_100,-1722.125,1966.45,6.401,1500.208,-38.0807,-48.7403
MR3_100_100,-1722.125,1966.45,6.401,1500.216,-38.1309,-47.9462
MR3_100_100,-1722.125,1966.45,6.401,1500.224,-38.1435,-47.9462
MR3_100_100,-1722.125,1966.45,6.401,1500.232,-38.2073,-47.4874
MR3_100_100,-1722.125,1966.45,6.401,1500.24,-38.2331,-47.275
MR3_100_100,-1722.125,1966.45,6.401,1500.248,-38.2202,-47.7108
MR3_100_100,-1722.125,1966.45,6.401,1500.256,-38.1057,-47.7108
MR3_100_100,-1722.125,1966.45,6.401,1500.264,-38.0065,-47.4874
MR3_100_100,-1722.125,1966.45,6.401,1500.272,-37.8974,-47.3798
MR3_100_100,-1722.125,1966.45,6.401,1500.28,-37.7794,-47.7108
MR3_100_100,-1722.125,1966.45,6.401,1500.288,-37.6532,-47.8268
MR3_100_100,-1722.125,1966.45,6.401,1500.296,-37.597,-47.7108
MR3_100_100,-1722.125,1966.45,6.401,1500.304,-37.4976,-48.8882
MR3_100_100,-1722.125,1966.45,6.401,1500.312,-37.3792,-48.3251
MR3_100_100,-1722.125,1966.45,6.401,1500.32,-37.2331,-48.0688
MR3_100_100,-1722.125,1966.45,6.401,1500.328,-37.1618,-48.5975
MR3_100_100,-1722.125,1966.45,6.401,1500.336,-37.1416,-48.0688
MR3_100_100,-1722.125,1966.45,6.401,1500.344,-37.0917,-48.0688
MR3_100_100,-1722.125,1966.45,6.401,1500.352,-37.1517,-47.9462
MR3_100_100,-1722.125,1966.45,6.401,1500.36,-37.2024,-48.0688
MR3_100_100,-1722.125,1966.45,6.401,1500.368,-37.2743,-47.3798
MR3_100_100,-1722.125,1966.45,6.401,1500.376,-37.3055,-47.3798
MR3_100_100,-1722.125,1966.45,6.401,1500.384,-37.4434,-47.7108
MR3_100_100,-1722.125,1966.45,6.401,1500.392,-37.5526,-47.5975
MR3_100_100,-1722.125,1966.45,6.401,1500.4,-37.6082,-47.4874
MR3_100_100,-1722.125,1966.45,6.401,1500.408,-37.6872,-46.7854
MR3_100_100,-1722.125,1966.45,6.401,1500.416,-37.7911,-46.9747
MR3_100_100,-1722.125,1966.45,6.401,1500.424,-37.8855,-46.7854
MR3_100_100,-1722.125,1966.45,6.401,1500.432,-37.9094,-47.275
MR3_100_100,-1722.125,1966.45,6.401,1500.44,-38.0188,-46.879
MR3_100_100,-1722.125,1966.45,6.401,1500.448,-38.0558,-46.1014
MR3_100_100,-1722.125,1966.45,6.401,1500.456,-38.0434,-45.8704
MR3_100_100,-1722.125,1966.45,6.401,1500.464,-38.0188,-45.8704
MR3_100_100,-1722.125,1966.45,6.401,1500.472,-38.0188,-45.5107
MR3_100_100,-1722.125,1966.45,6.401,1500.48,-37.9577,-45.5802
MR3_100_100,-1722.125,1966.45,6.401,1500.488,-37.9094,-45.0524
MR3_100_100,-1722.125,1966.45,6.401,1500.496,-37.9455,-45.1785
MR3_100_100,-1722.125,1966.45,6.401,1500.504,-37.9942,-44.9299
MR3_100_100,-1722.125,1966.45,6.401,1500.512,-38.0188,-44.638
MR3_100_100,-1722.125,1966.45,6.401,1500.52,-38.0683,-44.4177
MR3_100_100,-1722.125,1966.45,6.401,1500.528,-38.1183,-44.2081
MR3_100_100,-1722.125,1966.45,6.401,1500.536,-38.1309,-43.9596
MR3_100_100,-1722.125,1966.45,6.401,1500.544,-38.259,-43.5452
MR3_100_100,-1722.125,1966.45,6.401,1500.552,-38.4314,-43.2075
MR3_100_100,-1722.125,1966.45,6.401,1500.56,-38.4586,-42.9703
MR3_100_100,-1722.125,1966.45,6.401,1500.568,-38.6821,-42.7455
