Lambda_Diff,Distance
1.72,3718.8
2.136,6690.033
2.424,7074.553
1.992,7462.14
2.952,7852.339
4.384,8244.78
3.472,8639.252
0.344,3209.7
0.096,3236.187
0.936,3314.379
0.656,3440.753
2.328,4132.0
0.568,3610.252
0.768,3817.136
0.84,4055.688
0.784,4320.666
0.488,4607.512
1.16,4912.397
1.216,5232.17
1.136,5564.262
1.6,5906.598
1.744,6257.496
1.512,4545.2
0.304,6615.594
2.32,6979.784
2.992,7349.159
2.368,7722.977
3.288,8100.621
4.336,8481.582
3.672,8865.524
0.128,3839.3
0.408,3861.471
0.72,3927.233
1.8,4958.4
0.296,4034.456
0.28,4179.949
0.6,4359.883
0.608,4570.192
1.136,4806.891
0.968,5066.282
0.928,5345.063
1.192,5640.359
1.336,5949.712
1.52,6271.041
2.504,5371.6
1.68,6602.599
0.136,6942.92
2.056,7290.777
3.008,7645.142
2.328,8005.15
4.816,8739.295
3.28,9112.386
0.264,4468.9
0.456,4487.962
0.84,5784.8
0.848,4544.668
0.112,4637.637
0.704,4764.747
0.928,4923.355
0.328,5110.528
0.664,5323.255
0.912,5558.602
0.656,5813.823
1.2,6086.419
1.288,6374.16
2.256,6198.0
1.304,6675.088
1.552,6987.5
0.184,7309.923
2.392,7641.091
2.832,7979.914
1.904,8325.459
3.304,8676.921
5.528,9033.611
4.072,9395.021
0.2,5098.4
2.76,6611.2
0.024,5115.116
0.536,5164.941
0.272,5246.932
0.032,5359.611
0.496,5501.094
0.368,5669.225
0.248,5861.711
0.728,6076.238
0.664,6310.559
1.168,6562.553
2.288,7024.4
0.848,6830.265
1.784,7111.92
1.64,7405.928
0.672,7710.875
2.264,8025.515
2.872,8348.751
2.184,8679.624
3.552,9017.293
5.064,9361.023
4.144,9710.254
3.04,7437.6
0.008,5790.0
0.736,5804.725
0.504,5848.678
0.672,5921.208
0.784,6021.283
0.52,6147.557
1.12,6298.455
1.088,6472.254
1.064,6667.165
1.256,6881.393
0.728,413.2
4.672,7850.8
1.032,7113.194
0.944,7360.906
1.792,7622.98
1.84,7897.986
0.984,8184.62
2.592,8481.704
3.328,8788.178
2.792,9103.093
4.464,9425.603
5.28,9754.956
2.472,8264.1
4.616,10090.562
0.504,6419.5
0.392,6432.784
0.744,6472.474
0.032,6538.088
0.792,6628.856
1.072,6743.763
0.76,6881.6
0.856,7041.02
0.912,7220.594
0.28,629.5
0.976,7418.858
1.768,7634.357
1.528,7865.674
1.52,8111.456
1.592,8370.428
0.408,8641.406
2.864,8923.294
3.024,9215.093
2.56,9515.891
3.888,9824.86
0.144,752.997
5.344,10141.254
4.352,10464.479
0.112,7049.1
0.792,7061.2
0.808,7097.376
0.048,7157.263
0.48,7240.273
1.384,7345.622
0.712,7472.365
1.0,7619.435
0.744,1038.849
1.184,7785.679
1.16,7969.899
1.104,8170.877
1.328,8387.41
1.384,8618.326
1.872,8862.499
0.752,9118.866
2.64,9386.427
3.088,9664.252
1.68,9951.483
0.472,1390.28
4.4,10247.327
5.64,10551.06
0.64,7678.65
0.616,7689.759
0.6,7722.992
0.656,7778.064
1.064,7854.515
0.992,7951.731
1.44,8068.959
0.96,1768.62
0.944,8205.342
1.608,8359.944
1.224,8531.772
1.616,8719.81
1.472,8923.032
2.008,9140.426
2.576,9371.006
0.872,9613.822
2.456,9867.972
3.48,10132.602
1.28,2159.775
2.824,10406.914
4.616,10690.162
5.664,10981.654
4.368,11280.825
0.96,2557.871
1.44,2960.109
1.36,826.4
1.312,3365.005
1.232,3771.703
1.752,4179.676
0.976,4588.585
1.584,4998.2
1.656,5408.36
0.152,5818.95
1.72,6229.886
1.768,6641.102
1.376,7052.55
1.36,1239.6
3.2,7464.192
3.976,7875.997
2.608,8288.041
0.08,1259.1
0.576,1325.167
0.872,1506.078
0.664,1766.902
0.88,2077.759
1.296,2419.44
1.152,2780.605
1.088,1652.8
0.72,3154.57
1.344,3537.276
1.136,3926.169
1.16,4319.578
1.368,4716.373
1.456,5115.766
1.712,5517.193
0.16,5920.24
2.504,6324.598
2.632,6730.03
1.424,2066.0
1.488,7136.353
3.224,7543.423
4.224,7951.125
3.168,8359.467
0.024,1888.6
0.272,1933.273
0.608,2061.491
0.392,2259.075
0.784,2509.693
1.336,2799.137
1.448,2479.2
0.496,3116.608
1.04,3454.387
1.384,3807.073
1.152,4170.885
1.272,4543.152
1.648,4921.956
1.384,5305.897
1.784,5693.935
0.128,6085.287
1.752,6479.353
1.888,2892.4
2.104,6875.665
1.248,7273.858
2.416,7673.637
3.16,8477.155
0.384,2518.2
0.536,2551.875
0.744,2650.334
0.16,2806.767
0.456,3012.155
1.968,3305.6
0.72,3257.251
0.704,3533.803
0.56,3835.011
1.528,4155.517
0.976,4491.192
1.232,4838.88
1.24,5196.169
1.432,5561.21
1.896,5932.573
0.296,6309.14
0.416,3533.803
0.704,3835.011
0.272,4155.517
1.232,4491.192
2.664,4838.88
1.752,5196.257
1.376,4912.397
1.816,4607.512
0.784,4320.666
1.064,4055.688
0.608,413.2
1.152,3817.136
0.952,3610.252
0.88,3440.753
0.936,3314.379
1.232,3236.187
0.56,3209.7
0.504,3236.187
0.584,3314.379
0.12,3440.753
0.024,3610.252
0.208,826.4
1.416,3817.136
0.6,4055.688
1.272,4320.666
0.648,4607.512
1.568,4912.397
