Lambda_Diff,Distance
0.592,3718.8
0.616,6690.033
0.168,7074.553
0.024,7462.14
0.928,7852.339
1.392,8244.78
1.08,8639.252
0.336,3314.379
0.432,3440.753
0.448,4132.0
0.736,3817.136
0.536,4055.688
0.32,4320.666
0.28,4607.512
0.184,4912.397
0.208,5232.17
0.272,5564.262
0.312,5906.598
0.224,6257.496
0.376,4545.2
0.008,6615.594
0.496,6979.784
0.616,7349.159
0.824,7722.977
1.112,8100.621
1.328,8481.582
1.472,8865.524
0.04,3839.3
0.576,3927.233
0.408,4958.4
0.256,4359.883
0.152,4570.192
0.2,4806.891
0.656,5066.282
0.512,5345.063
0.232,5640.359
0.032,5949.712
0.44,6271.041
0.04,5371.6
0.072,6602.599
0.192,6942.92
0.872,7290.777
0.768,7645.142
0.664,8005.15
1.296,8370.073
1.824,8739.295
1.528,9112.386
0.168,5784.8
0.32,4764.747
0.032,4923.355
0.168,5323.255
0.192,5558.602
0.096,5813.823
0.344,6086.419
0.08,6374.16
0.184,6198.0
0.4,6675.088
0.288,6987.5
0.336,7309.923
1.208,7641.091
0.912,7979.914
0.496,8325.459
1.44,8676.921
2.368,9033.611
2.016,9395.021
0.36,6611.2
0.384,5246.932
0.56,5501.094
0.064,5861.711
0.192,6076.238
0.064,6310.559
0.184,6562.553
0.32,7024.4
0.04,6830.265
0.488,7111.92
0.504,7405.928
0.424,7710.875
1.168,8025.515
1.28,8348.751
1.008,8679.624
1.928,9017.293
2.488,9361.023
1.896,9710.254
0.192,7437.6
0.344,5804.725
0.544,5848.678
0.168,5921.208
0.144,6021.283
0.056,6298.455
0.056,6472.254
0.288,6667.165
0.816,413.2
0.896,7850.8
0.208,7113.194
0.04,7360.906
0.2,7622.98
0.088,7897.986
0.704,8184.62
0.984,8481.704
1.056,8788.178
1.056,9103.093
1.864,9425.603
1.88,9754.956
0.416,8264.1
1.536,10090.562
0.232,6432.784
0.272,6538.088
0.32,6743.763
0.192,7041.02
0.288,7220.594
0.24,629.5
0.248,7418.858
0.216,7634.357
0.256,7865.674
0.568,8111.456
0.416,8370.428
0.4,8641.406
0.52,8923.294
1.168,9215.093
1.048,9515.891
1.816,9824.86
0.472,752.997
2.12,10141.254
2.032,10464.479
0.216,7472.365
0.24,7619.435
0.528,1038.849
0.456,7785.679
0.184,7969.899
0.152,8170.877
0.296,8387.41
0.624,8618.326
0.296,8862.499
0.176,9118.866
0.752,9386.427
0.872,9664.252
0.864,9951.483
0.056,1390.28
1.976,10247.327
2.456,10551.06
1.976,10862.097
0.6,7689.759
0.816,7722.992
0.624,7951.731
1.104,1768.62
0.352,8205.342
0.328,8359.944
0.264,8531.772
0.328,8719.81
0.688,8923.032
0.192,9140.426
0.264,9371.006
0.472,9613.822
0.568,9867.972
1.136,10132.602
0.832,2159.775
0.608,10406.914
1.344,10690.162
1.84,10981.654
1.816,11280.825
0.512,2557.871
0.192,8723.09
0.56,8868.67
0.088,9030.824
0.136,9208.677
0.648,9401.338
0.36,9607.916
0.76,9827.533
0.304,10059.335
1.104,10302.501
0.352,2960.109
1.096,10556.244
0.672,10819.82
1.248,11092.529
1.752,11373.714
1.888,11662.833
0.584,826.4
0.368,3365.005
0.96,3771.703
0.704,4179.676
0.464,4588.585
0.048,4998.2
0.456,5408.36
0.552,5818.95
0.184,6229.886
0.032,6641.102
0.568,7052.55
0.632,1239.6
0.216,7464.192
1.088,7875.997
0.04,8288.041
0.568,1259.1
0.728,1325.167
0.768,1506.078
0.616,1766.902
0.232,2077.759
0.272,2419.44
0.192,2780.605
0.936,1652.8
0.344,3154.57
0.272,3537.276
0.12,3926.169
0.352,4319.578
0.368,4716.373
0.2,5115.766
0.08,5517.193
0.056,5920.24
0.28,6324.598
0.456,6730.03
0.624,2066.0
0.304,7136.353
0.568,7543.423
0.944,7951.125
0.456,8359.467
0.568,1933.273
0.264,2259.075
0.368,2509.693
0.432,2799.137
1.016,2479.2
0.016,3116.608
0.432,3454.387
0.608,3807.073
0.392,4170.885
0.088,4543.152
0.032,4921.956
0.056,5693.935
0.32,6085.287
0.568,6479.353
0.56,2892.4
0.256,7273.858
0.912,8074.768
0.704,8477.155
0.856,2650.334
0.288,2806.767
0.4,3012.155
0.816,3305.6
0.304,3257.251
0.168,3533.803
0.296,3835.011
0.264,4155.517
0.168,4491.192
0.424,4838.88
0.32,5196.169
0.48,5561.21
0.304,5932.573
0.048,6309.14
0.024,3533.803
0.424,3835.011
0.568,4155.517
0.336,4491.192
0.8,4838.88
0.488,5196.257
0.256,4320.666
0.16,4055.688
0.144,413.2
0.144,3610.252
0.056,3440.753
0.272,3314.379
0.872,3236.187
0.776,3209.7
0.384,3236.187
0.32,3314.379
0.28,3440.753
0.368,3610.252
0.216,826.4
0.584,3817.136
0.096,4055.688
0.024,4320.666
0.232,4607.512
0.52,4912.397
0.736,5232.17
0.88,5564.344
0.632,5345.063
0.016,4806.891
0.184,1239.6
0.336,4179.949
0.744,4034.456
0.392,3927.233
0.064,3861.471
0.08,3839.3
0.36,3861.471
0.624,3927.233
0.152,4034.456
0.552,1652.8
0.52,4179.949
0.4,4359.883
0.28,4570.192
0.176,4806.891
0.072,5066.282
0.704,5345.063
1.232,5640.359
0.936,5949.788
0.76,2066.0
0.272,4923.355
0.56,4764.747
0.424,4544.668
0.4,4487.962
0.496,4468.9
0.248,4487.962
0.672,4544.668
0.408,2479.2
0.192,4637.637
0.304,4764.747
0.256,4923.355
0.616,5110.528
0.32,5323.255
0.096,5558.602
0.848,5813.823
1.776,6086.419
1.424,6374.231
0.232,2892.4
0.208,5669.225
0.032,5359.611
0.528,5164.941
0.4,5115.116
0.528,5098.4
0.408,5115.116
0.272,3305.6
0.552,5164.941
0.104,5246.932
0.088,5359.611
0.168,5501.094
0.576,5669.225
0.688,5861.711
0.416,6076.238
1.336,6310.559
1.896,6562.553
1.304,6830.332
0.4,3718.8
0.248,6667.165
0.048,6472.254
0.424,6298.455
0.448,6147.557
0.536,5921.208
0.536,5848.678
0.304,5804.725
0.224,3305.6
0.304,4132.0
0.384,5804.725
0.552,5848.678
0.392,5921.208
0.504,6021.283
0.112,6147.557
0.392,6298.455
0.464,6472.254
0.464,6667.165
1.272,6881.393
1.288,7113.194
0.176,4545.3
0.944,7360.968
0.36,7220.594
0.32,6881.6
0.272,6628.856
0.4,6472.474
0.304,6432.784
0.352,3771.703
0.344,6419.5
0.376,6432.784
0.336,6472.474
0.024,6538.088
0.176,6628.856
0.192,6743.763
0.072,6881.6
0.576,7041.02
0.456,7220.594
1.224,7418.858
0.12,3365.005
1.528,7634.357
1.44,7865.732
0.376,7157.263
0.352,7097.376
0.064,2960.109
0.136,7061.2
0.408,7049.1
0.44,7061.2
0.296,7097.376
0.032,7157.263
0.296,7240.273
0.416,7345.622
0.16,7472.365
0.28,7619.435
0.272,7785.679
0.648,2557.871
1.384,7969.899
1.864,8170.877
1.384,8387.465
0.008,8359.944
0.224,8205.342
0.032,7854.515
0.512,2159.775
0.24,7722.992
0.264,7689.759
0.328,7678.65
0.264,7689.759
0.096,7722.992
0.4,7778.064
0.328,7854.515
0.12,7951.731
0.024,8068.959
0.544,8205.342
0.24,1768.62
0.016,8359.944
0.752,8531.772
1.248,8719.81
1.224,8923.083
0.08,1390.28
0.4,8270.989
0.032,8239.967
0.504,8229.6
0.456,8239.967
0.056,8270.989
0.232,8322.435
0.168,8393.93
0.288,8484.967
0.512,8594.926
0.24,1038.849
0.504,8723.09
0.08,8868.67
0.656,9030.824
1.16,9208.677
1.296,9401.387
0.008,2892.4
0.224,752.997
0.368,629.5
0.112,752.997
0.128,1038.849
0.64,1390.28
0.136,1768.62
1.144,2159.775
0.408,2557.871
0.624,2960.109
1.16,3365.005
0.04,2479.2
0.376,3771.703
0.496,4179.676
0.552,4588.684
0.024,3926.169
0.136,3537.276
0.176,3154.57
0.024,2780.605
0.36,2419.44
0.32,2077.759
0.4,1766.902
0.344,2066.0
0.248,1506.078
0.32,1325.167
0.472,1259.1
0.24,1325.167
0.224,1506.078
0.392,1766.902
0.672,2077.759
0.648,2419.44
0.312,2780.605
0.136,3154.57
0.032,1652.8
0.288,3537.276
0.024,3926.169
0.352,4319.578
0.136,4716.47
0.024,3807.073
0.328,3116.608
0.224,2799.137
0.16,2509.693
0.424,1239.6
0.608,2259.075
0.16,2061.491
0.016,1933.273
0.2,1888.6
0.504,1933.273
0.56,2061.491
0.536,2509.693
0.912,2799.137
0.024,3116.608
0.032,826.4
0.848,3807.073
0.32,4543.152
0.112,4922.049
0.264,3835.011
0.304,3533.803
0.192,3257.251
0.224,413.2
0.288,3012.155
0.424,2806.767
0.296,2650.334
0.328,2551.875
0.424,2518.2
0.168,2551.875
0.272,2650.334
0.112,2806.767
0.288,3012.155
0.64,3257.251
0.448,413.2
0.592,826.4
0.312,1239.6
0.776,1652.8
0.464,2066.1
0.28,5415.926
0.184,5006.386
0.168,3257.251
0.12,4189.463
0.08,3782.545
0.296,3377.153
0.896,2973.912
0.8,2573.831
0.408,2178.653
0.344,1791.625
0.304,1419.43
0.392,1077.548
0.24,3012.155
0.608,805.547
0.12,691.5
0.0,805.547
0.208,1077.548
0.496,1419.43
0.712,1791.625
0.856,2178.748
0.656,6337.232
0.04,5531.672
0.208,2806.767
0.36,4338.056
0.768,3946.489
0.416,3559.817
0.04,3179.824
0.104,2809.224
0.384,2452.277
0.648,2115.905
0.176,1811.605
0.576,2650.334
0.544,1558.282
0.424,1384.211
0.256,1321.1
0.152,1384.211
0.048,1558.282
0.68,1811.605
1.208,2115.905
0.912,2452.361
0.784,2551.875
0.296,4946.117
0.584,4569.317
0.448,3838.258
0.424,3488.726
0.52,3154.626
0.272,2841.406
0.696,2556.752
0.432,2518.2
0.216,2311.242
0.328,2118.53
0.28,1993.982
0.592,1950.7
0.296,1993.982
0.12,2118.53
0.824,2311.242
1.752,2556.752
1.4,2841.478
0.256,2551.875
0.232,5589.558
0.056,4871.433
0.552,4193.379
0.424,3876.004
0.552,3578.249
0.432,3305.418
0.296,2650.334
0.576,3064.177
0.128,2862.523
0.112,2709.312
0.192,2613.076
0.552,2580.2
0.664,2613.076
0.392,2709.312
1.312,2862.523
1.872,3064.177
1.28,3305.48
0.424,2806.767
0.272,6645.945
0.072,6289.576
0.448,5940.573
0.472,5600.314
0.56,4953.196
0.56,4650.986
0.328,4366.996
0.2,6309.14
0.28,3012.155
0.408,3869.5
0.576,3665.573
0.416,3498.755
0.528,3374.554
0.088,3297.789
0.368,3271.8
0.44,3297.789
0.44,3374.554
1.248,3498.755
1.264,3665.573
0.2,3257.315
0.92,3869.554
0.384,6977.396
0.344,6309.19
0.296,5682.743
0.424,5113.427
0.328,4856.554
0.376,6479.382
0.368,4622.399
0.4,4414.578
0.36,4236.967
0.048,4093.501
0.2,3987.866
0.216,3923.121
0.096,3901.3
0.552,3923.121
0.432,3987.866
1.2,4093.501
0.144,6085.318
1.504,4236.967
1.416,4414.625
0.4,5861.615
0.376,5608.569
0.088,5693.968
0.16,5375.41
0.432,5164.832
0.464,4979.7
0.32,4822.945
0.008,4697.41
0.32,4605.648
0.44,4549.702
0.136,4530.9
0.256,4549.702
0.248,4605.648
0.672,5305.932
1.36,4697.41
1.84,4822.945
1.36,4979.741
0.016,7752.042
0.2,7448.78
0.008,6610.875
0.488,4921.995
0.264,6128.396
0.288,5915.76
0.352,5725.092
0.288,5558.651
0.072,5418.671
0.424,5307.245
0.352,5226.201
0.144,5176.966
0.048,5160.45
0.52,5176.966
0.216,4543.194
0.008,5226.201
0.728,5307.245
1.224,5418.671
1.2,5558.688
0.104,4170.93
0.424,6599.021
0.056,6402.036
0.528,6226.277
0.48,6073.586
0.032,5945.741
0.256,5844.373
0.144,5770.877
0.312,5726.327
0.488,5711.4
0.264,3807.122
0.48,5726.327
0.056,5770.877
0.632,5844.373
1.136,5945.741
1.272,6073.62
0.032,5932.573
0.248,3454.441
0.344,3116.668
0.088,2799.204
0.152,2509.768
0.664,2259.158
0.16,2061.583
1.168,1933.371
0.432,1888.7
0.648,1933.371
1.184,2061.583
0.016,5561.21
0.4,2259.158
0.472,2509.768
0.576,2799.278
0.048,6324.598
0.112,5920.24
0.152,5517.193
0.0,5115.766
0.384,4716.373
0.344,4319.578
0.424,3926.169
0.32,5196.169
0.272,3537.276
0.344,3154.57
0.496,2780.605
0.264,2419.44
0.248,2077.759
0.416,1766.902
0.696,1506.078
0.672,1325.167
0.336,1259.1
0.16,1325.167
0.008,4838.88
0.312,1506.078
0.048,1766.902
0.328,2077.759
0.16,2419.525
0.048,5818.961
0.352,4998.212
0.248,4588.599
0.184,4179.691
0.4,4491.192
0.632,3771.72
0.184,3365.024
0.008,2960.131
0.224,2557.895
0.528,2159.804
0.584,1768.656
0.56,1038.91
0.936,753.081
0.048,629.6
0.056,4155.517
0.872,1038.91
0.296,1768.656
0.088,2159.899
0.24,5371.6
0.328,4958.4
0.216,4545.2
0.2,3835.011
0.312,4132.0
0.448,3718.8
0.32,3305.6
0.352,2892.4
0.448,2479.2
0.192,2066.0
0.296,1652.8
0.136,1239.6
0.312,826.4
0.664,413.2
0.144,413.2
0.76,826.4
1.224,1239.6
0.912,1652.9
0.168,5825.983
0.264,5415.926
0.28,3533.803
0.568,4597.501
0.368,4189.463
0.152,3782.545
0.448,3377.153
0.352,2973.912
0.04,2573.831
0.104,2178.653
0.144,1791.625
0.056,1419.43
0.208,3257.251
0.16,1077.548
0.328,805.547
0.448,691.5
0.656,805.547
0.944,1077.548
1.16,1419.43
1.304,1791.717
0.208,6741.904
0.408,5933.735
0.24,3012.155
0.088,4733.302
0.32,4338.056
0.032,3946.489
0.488,3559.817
0.344,3179.824
0.064,2809.224
0.2,2452.277
0.272,2115.905
0.128,2806.767
0.096,1811.605
0.024,1558.282
0.704,1384.211
0.6,1321.1
0.496,1384.211
1.128,1558.282
1.656,1811.605
1.36,2115.983
0.336,2650.334
0.152,5328.317
0.136,4946.117
0.0,4199.369
0.024,3838.258
0.072,3488.726
0.176,3154.626
0.248,2841.406
0.016,2551.875
0.232,2556.752
0.12,2311.242
0.168,2118.53
1.04,1993.982
0.744,1950.7
0.328,1993.982
1.272,2118.53
2.2,2311.242
1.848,2556.816
0.192,2518.2
0.216,5959.154
0.392,5226.497
0.104,4526.246
0.024,4193.379
0.104,3876.004
0.016,3578.249
0.152,2551.875
0.128,3305.418
0.32,3064.177
0.336,2862.523
0.256,2709.312
1.0,2613.076
1.112,2580.2
0.84,2613.076
1.76,2709.312
2.32,2862.523
1.728,3064.231
0.024,2650.334
0.176,7008.558
0.376,6645.945
0.0,6289.576
0.024,5940.573
0.112,5270.493
0.112,4953.196
0.12,4650.986
0.648,6690.033
0.728,2806.767
0.04,4105.01
0.128,3869.5
0.032,3665.573
0.08,3498.755
0.536,3374.554
0.816,3297.789
0.888,3271.8
0.888,3297.789
1.696,3374.554
1.712,3498.755
0.248,3012.21
1.368,3665.618
0.064,7323.616
0.104,6638.842
0.152,5989.907
0.024,5389.769
0.12,5113.427
0.072,6875.693
0.08,4856.554
0.048,4622.399
0.088,4414.578
0.4,4236.967
0.248,4093.501
0.232,3987.866
0.352,3923.121
1.0,3901.3
0.88,3923.121
1.648,3987.866
0.304,6479.382
1.952,4093.501
1.864,4237.006
0.048,6132.086
0.072,5861.615
0.36,6085.318
0.288,5608.569
0.016,5375.41
0.016,5164.832
0.128,4979.7
0.456,4822.945
0.128,4697.41
