Distance,Qfactor_Diff,ER_Diff
3718.8,3.7,0.46
3533.803,0.15,1.084
3835.011,3.0,1.882
4155.517,1607.183,4.697
4491.192,1.8,0.915
4838.88,4.65,0.912
5196.257,2.7,0.832
4912.397,876.077,5.283
4607.512,878.577,3.175
4320.666,1075.706,0.259
4055.688,1.2,1.107
413.2,0.9,1.154
3817.136,0.4,1.33
3610.252,0.65,2.325
3440.753,0.55,1.259
3314.379,1.95,0.797
3236.187,1079.928,0.707
3209.7,1079.206,0.258
3236.187,2.65,0.819
3314.379,1076.094,3.071
3440.753,2.0,1.781
3610.252,876.032,2.776
826.4,1.35,1.259
3817.136,3.9,2.241
4055.688,877.623,2.854
4320.666,1073.65,0.496
4607.512,1.2,0.332
4912.397,1612.892,4.282
5232.17,882.35,3.267
5564.344,5.3,1.41
5345.063,4.4,0.525
5066.282,875.986,2.085
4806.891,0.5,1.352
1239.6,877.35,0.292
4570.192,2.2,0.479
4359.883,1075.261,0.529
4179.949,2.5,0.658
4034.456,1079.261,0.408
3927.233,2.7,0.131
3861.471,0.05,0.239
3839.3,1074.372,1.008
3927.233,4.35,0.521
4034.456,1.4,0.022
1652.8,3.5,0.33
4179.949,3.5,0.882
4359.883,1076.65,0.451
4570.192,1.55,3.675
4806.891,0.7,0.917
5066.282,0.2,1.87
5345.063,1613.683,2.959
5640.359,7.25,1.063
5949.788,1614.933,5.913
5813.823,2.4,0.146
5558.602,1.85,0.502
2066.0,1078.928,3.389
5323.255,0.65,1.522
5110.528,1.25,2.384
4923.355,876.486,2.609
4764.747,3.9,2.278
4637.637,3.0,0.627
4544.668,1607.808,4.317
4487.962,875.759,2.714
4468.9,875.395,1.717
4487.962,1075.761,2.403
4544.668,1078.706,1.753
2479.2,2.6,0.538
4637.637,1609.058,3.01
4764.747,876.259,3.039
4923.355,1075.817,1.585
5110.528,3.4,0.28
5323.255,1.6,1.828
5558.602,877.486,1.728
5813.823,4.9,2.505
6086.419,1061.706,2.266
6374.231,2404.962,3.043
6310.559,878.123,2.908
2892.4,1.55,2.451
6076.238,876.577,4.249
5861.711,1.8,2.921
5669.225,1.55,3.448
5501.094,4.15,0.68
5359.611,0.4,0.876
5246.932,1076.428,2.457
5164.941,1077.539,0.026
5115.116,1076.706,0.876
5098.4,875.123,2.959
5115.116,1076.706,1.768
3305.6,876.85,3.754
5164.941,875.032,3.233
5246.932,1074.594,1.747
5359.611,1074.483,1.589
5501.094,1.35,0.665
5669.225,3.3,0.721
5861.711,882.032,2.998
6076.238,880.532,0.727
6310.559,1064.594,0.255
6562.553,11.55,1.039
6830.332,7.85,2.191
3718.8,1076.483,1.209
6881.393,877.532,2.742
6667.165,1.75,2.179
6472.254,1074.15,0.293
6298.455,875.759,3.795
6147.557,875.623,1.902
6021.283,1074.539,0.246
5921.208,3.6,0.174
5848.678,875.168,3.319
5804.725,2.1,0.748
5790.0,877.532,1.697
3305.6,1.45,2.047
4132.0,1071.539,1.106
5804.725,2.6,2.382
5848.678,3.65,0.166
5921.208,875.986,3.075
6021.283,3.35,1.94
6147.557,1610.808,4.32
6298.455,880.441,1.497
6472.254,2.65,0.047
6667.165,880.759,5.19
6881.393,7.75,0.901
7113.194,885.532,3.076
4545.3,1.15,1.122
7360.968,1067.317,1.983
7418.858,1.55,0.125
7220.594,2.45,1.206
7041.02,1073.428,1.76
6881.6,2.15,2.081
6743.763,1.8,0.504
6628.856,1075.706,2.038
6538.088,1.2,2.241
6472.474,875.941,1.569
6432.784,2.1,0.354
3771.703,2.65,1.027
6419.5,2.35,1.561
6432.784,2.5,1.503
6472.474,2.3,1.033
6538.088,0.25,0.614
6628.856,1609.35,4.419
6743.763,877.214,0.501
6881.6,1074.261,2.59
7041.02,3.45,1.541
7220.594,2231.812,6.327
7418.858,7.5,0.369
3365.005,877.305,3.401
7634.357,886.941,1.788
7865.732,8.8,0.127
7969.899,1076.039,0.441
7785.679,1077.706,1.675
7619.435,1.8,0.276
7472.365,2.4,1.697
7345.622,1076.539,1.918
7240.273,0.8,0.434
7157.263,2.75,1.556
7097.376,2.6,2.184
2960.109,877.486,3.043
7061.2,1.25,0.049
7049.1,1076.872,2.692
7061.2,1077.15,2.094
7097.376,2.3,2.709
7157.263,0.2,0.097
7240.273,1076.039,1.414
7345.622,1076.983,1.186
7472.365,0.6,2.036
7619.435,1.35,0.798
7785.679,1.35,3.23
2557.871,1078.539,2.177
7969.899,1064.372,1.519
8170.877,11.25,0.946
8387.465,8.25,2.539
8531.772,1073.817,1.552
8359.944,1073.872,1.876
8205.342,1072.372,1.156
8068.959,1.7,0.692
7951.731,1609.183,4.273
7854.515,1073.706,0.6
7778.064,3.35,1.01
2159.775,1070.706,0.445
7722.992,1608.85,3.667
7689.759,876.532,3.131
7689.759,1608.683,6.207
7722.992,1073.317,1.209
7778.064,2.85,2.0
7951.731,1.1,0.208
8068.959,877.941,3.054
8205.342,881.123,1.354
1768.62,1072.372,1.503
8359.944,878.214,1.087
8531.772,1068.817,0.954
8719.81,1616.6,3.807
8923.083,1065.428,2.625
9030.824,878.168,2.292
8868.67,1.45,0.702
8723.09,1071.428,1.282
8594.926,878.077,1.136
8484.967,1076.094,2.02
8393.93,2.6,1.014
1390.28,0.9,0.769
8322.435,1078.65,1.084
8270.989,2.75,1.633
8239.967,877.986,2.28
8229.6,1077.372,1.543
8239.967,1077.094,0.061
8270.989,0.05,1.39
8322.435,1.75,0.788
8393.93,1072.706,1.362
8484.967,1075.928,2.67
8594.926,2.95,2.17
1038.849,2.1,1.145
8723.09,880.986,1.011
8868.67,0.2,0.33
9030.824,3.8,0.67
9208.677,7.0,2.089
9401.387,1064.928,0.132
2892.4,0.05,1.445
752.997,2.05,2.915
629.5,1071.761,0.754
752.997,0.3,0.665
1038.849,1075.15,1.6
1390.28,4.4,1.823
1768.62,1074.928,2.053
2159.775,7.8,1.048
2557.871,2.95,0.438
2960.109,1078.372,2.689
3365.005,1082.094,2.469
2479.2,0.25,1.113
3771.703,2.75,1.963
4179.676,1070.817,0.9
4588.684,1077.872,1.342
3926.169,878.032,3.891
3537.276,2414.838,1.819
3154.57,1072.872,1.784
2780.605,878.123,2.081
2419.44,2.75,0.733
2077.759,2.25,0.045
1766.902,875.895,4.513
2066.0,2.2,2.239
1506.078,2.05,0.469
1325.167,2.5,0.973
1259.1,3.4,1.763
1325.167,1.9,2.041
1506.078,1075.594,1.207
1766.902,875.759,2.563
2077.759,4.7,0.084
2419.44,4.5,3.066
2780.605,2.2,1.442
3154.57,1.15,0.372
1652.8,878.623,2.661
3537.276,2.05,2.133
3926.169,0.6,1.402
4319.578,1.95,0.691
4716.47,1074.983,0.075
4170.885,878.395,2.253
3807.073,0.5,2.206
3454.387,2759.886,6.003
3116.608,2.4,1.594
2799.137,1.75,0.829
2509.693,1.35,0.937
1239.6,1070.594,0.026
2259.075,4.2,0.688
2061.491,1609.225,4.525
1933.273,0.25,3.105
1888.6,1.65,0.318
1933.273,1077.539,2.376
2061.491,874.85,5.609
2509.693,874.986,2.531
2799.137,6.1,0.721
3116.608,877.895,1.436
826.4,878.259,2.294
3807.073,873.259,1.004
4543.152,1.65,2.024
4922.049,878.714,3.934
4491.192,878.532,2.853
4155.517,1609.058,5.392
3835.011,1072.15,1.483
3533.803,2.25,0.077
3257.251,1.55,1.975
413.2,1071.983,0.852
3012.155,2.15,0.202
2806.767,3.0,1.715
2650.334,2.2,1.296
2551.875,876.259,4.557
2518.2,875.668,2.775
2551.875,1.35,1.4
2650.334,2.0,0.427
2806.767,1.0,0.491
3012.155,2.2,1.737
6690.033,3.55,1.545
3533.803,0.15,1.084
413.2,2.85,2.967
826.4,1607.333,3.613
1239.6,1.95,0.169
1652.8,4.8,0.172
2066.1,2.85,1.916
6236.455,876.227,4.199
5825.983,878.727,2.09
5415.926,1075.556,1.344
5006.386,1.05,0.023
3257.251,0.75,0.07
4597.501,0.25,0.246
4189.463,0.8,1.241
3782.545,0.4,0.175
3377.153,1.8,0.287
2973.912,1079.778,1.791
2573.831,1079.056,0.826
2178.653,2.5,0.265
1791.625,1075.944,4.156
1419.43,1.85,2.865
1077.548,876.182,1.691
3012.155,1.2,0.175
805.547,3.75,1.157
691.5,877.773,1.769
805.547,1073.5,1.58
1077.548,1.35,1.416
1419.43,1613.042,3.198
1791.625,882.5,2.182
2178.748,5.45,0.326
6337.232,4.25,0.559
5933.735,876.136,1.001
5531.672,0.35,0.267
2806.767,877.5,0.792
5131.378,2.05,1.563
4733.302,1075.111,1.613
