<X-coord>,<Y-coord>,<Polarization>,<wavelength>,<type>,<deviceID>,<comment>
-4459.875,-4231.55,TE,1550,Grating Coupler,alignment_GC_1,no comment
-4459.875,-3818.35,TE,1550,Grating Coupler,alignment_GC_2,no comment
-4459.875,-3405.15,TE,1550,Grating Coupler,alignment_GC_3,no comment
-4459.875,-2991.95,TE,1550,Grating Coupler,alignment_GC_4,no comment
-4459.875,-2578.75,TE,1550,Grating Coupler,alignment_GC_5,no comment
-4459.875,-2165.55,TE,1550,Grating Coupler,alignment_GC_6,no comment
-4459.875,-1752.35,TE,1550,Grating Coupler,alignment_GC_7,no comment
-4459.875,-1339.15,TE,1550,Grating Coupler,alignment_GC_8,no comment
-4459.875,-925.95,TE,1550,Grating Coupler,alignment_GC_9,no comment
-4459.875,-512.75,TE,1550,Grating Coupler,alignment_GC_10,no comment
-4459.875,-99.55,TE,1550,Grating Coupler,alignment_GC_11,no comment
-4459.875,313.65,TE,1550,Grating Coupler,alignment_GC_12,no comment
-4459.875,726.85,TE,1550,Grating Coupler,alignment_GC_13,no comment
-4459.875,1140.05,TE,1550,Grating Coupler,alignment_GC_14,no comment
-4459.875,1553.25,TE,1550,Grating Coupler,alignment_GC_15,no comment
-4459.875,1966.45,TE,1550,Grating Coupler,alignment_GC_16,no comment
-4459.875,2379.65,TE,1550,Grating Coupler,alignment_GC_17,no comment
-4459.875,2792.85,TE,1550,Grating Coupler,alignment_GC_18,no comment
-4459.875,3206.05,TE,1550,Grating Coupler,alignment_GC_19,no comment
-4459.875,3619.25,TE,1550,Grating Coupler,alignment_GC_20,no comment
-4459.875,4032.55,TE,1550,Grating Coupler,alignment_GC_21,no comment
-4459.775,4326.1,TE,1550,Grating Coupler,alignment_AP_gc_1,no comment
-4459.775,4484.1,TE,1550,Grating Coupler,alignment_AP_gc_2,no comment
-4401.825,4326.05,TE,1550,Grating Coupler,MR1_100_AP_1,no comment
-4401.825,4484.15,TE,1550,Grating Coupler,MR1_100_AP_2,no comment
-4397.725,-4231.55,TE,1550,Grating Coupler,MR1_100_1,no comment
-4397.725,-3818.35,TE,1550,Grating Coupler,MR1_100_2,no comment
-4397.725,-3405.15,TE,1550,Grating Coupler,MR1_100_3,no comment
-4397.725,-2991.95,TE,1550,Grating Coupler,MR1_100_4,no comment
-4397.725,-2578.75,TE,1550,Grating Coupler,MR1_100_5,no comment
-4397.725,-2165.55,TE,1550,Grating Coupler,MR1_100_6,no comment
-4397.725,-1752.35,TE,1550,Grating Coupler,MR1_100_7,no comment
-4397.725,-1339.15,TE,1550,Grating Coupler,MR1_100_8,no comment
-4397.725,-925.95,TE,1550,Grating Coupler,MR1_100_9,no comment
-4397.725,-512.75,TE,1550,Grating Coupler,MR1_100_10,no comment
-4397.725,-99.55,TE,1550,Grating Coupler,MR1_100_11,no comment
-4397.725,313.65,TE,1550,Grating Coupler,MR1_100_12,no comment
-4397.725,726.85,TE,1550,Grating Coupler,MR1_100_13,no comment
-4397.725,1140.05,TE,1550,Grating Coupler,MR1_100_14,no comment
-4397.725,1553.25,TE,1550,Grating Coupler,MR1_100_15,no comment
-4397.725,1966.45,TE,1550,Grating Coupler,MR1_100_16,no comment
-4397.725,2379.65,TE,1550,Grating Coupler,MR1_100_17,no comment
-4397.725,2792.85,TE,1550,Grating Coupler,MR1_100_18,no comment
-4397.725,3206.05,TE,1550,Grating Coupler,MR1_100_19,no comment
-4397.725,3619.25,TE,1550,Grating Coupler,MR1_100_20,no comment
-4397.725,4032.55,TE,1550,Grating Coupler,MR1_100_21,no comment
-4342.975,4326.15,TE,1550,Grating Coupler,MR2_100_AP_1,no comment
-4342.975,4484.15,TE,1550,Grating Coupler,MR2_100_AP_2,no comment
-4319.125,-4231.55,TE,1550,Grating Coupler,MR2_100_1,no comment
